id,open_data_platform,open_data_volume,institution_id,institution_name
4kO4LA1vlGa0mvp5hKDvcq,Own website,523,506a246d7724479789ff1c0591a84c42,Museum für Neue Kunst
5ml6vIUVJVJZJgEGgIwfPG,Wikimedia Commons,409,fee2cc16ffa24e18a5579e7d07e0ac0f,Факултет драмских уметности у Београду
4n5NJrxuJJWy0k4mxUfnEK,Own website,"1,536",0ff24b61bb87495c9a6cc45f40bac09b,Augustinermuseum
2CMorcNN40k51cKnEaNQEk,Own website,"50,692",787bffe8dd324b8aa96f8a71a816edf8,Yale Center for British Art
6bwQYXcSNXxY5k4hqrUGGV,Art UK,"1,779",787bffe8dd324b8aa96f8a71a816edf8,Yale Center for British Art
7GjiN9uk4oyKTKtLscXJ4b,Own website,"17,635",9329c020f8644a83a271a534dc97b2cd,Walters Art Museum
23zib585fjhUoAOXOlSs1g,Own website,"53,671",e91a755bb52145ef8c938814f3f8f71e,Minneapolis Institute of Art
4bPtfDPQGqRwarvuJdIl1f,Own website,205,22dcb9c80d9045578131823f1614e78e,Anacostia Community Museum
7jRGJd7TqhSzJX4EpKZu4Y,Own website,"5,863,088",b285cbbdf530472fa1934c677f102a79,Natural History Museum
VWRuIufteYh9xJtAx2fld,Own website,85,b285cbbdf530472fa1934c677f102a79,Natural History Museum
67qyZ1N8GMuXaIOjL6uMHK,Europeana,"2,453,966",b285cbbdf530472fa1934c677f102a79,Natural History Museum
2rUhSyXg6gLJFGUqyPwgOn,Wikimedia Commons,"2,198",b285cbbdf530472fa1934c677f102a79,Natural History Museum
1U15hwsYifFPRKecPwEWvw,Europeana,"6,849",a34581a4c27445bb8255f5c46a1c7c67,Stedelijk Museum Zutphen
7IVLOK3OjnyGbPmqJ5N2Vb,Own website,"54,216",9446f23d335d464a894b714e83b7a765,Museum Rotterdam
6xDl7jmLjvso8mVzujIVjm,Europeana,"16,455",9446f23d335d464a894b714e83b7a765,Museum Rotterdam
3uU3RdxDN8iF7AWEeXuukR,Own website,"3,000",f8266022f082473a95e692701480c47f,Bibliothèque nationale de Luxembourg
5zA6ruHYsEYiXfLDOYat0A,Own website,"2,571",52c7d72c01e54025894ce7370a0322fb,Hunt Museum
4ScMIxFo3Pw87AelCOG1u5,Europeana,490,52c7d72c01e54025894ce7370a0322fb,Hunt Museum
gCL3CMtU4gv2FtosE9Gal,Wikimedia Commons,299,33eb8682f2b04aa291841f78e004aa54,Museumsdorf Cloppenburg – Niedersächsisches Freilichtmuseum
6Q7KOmUUNUF9ldsGA9kKTM,Own website,"85,000",6b20eb2da48a4dbf955b334a69ff38e5,Leibniz-Institut für Astrophysik Potsdam (AIP)
4ZUXzVQ6FnVP8Sj0NgwcWP,Own website,"1,072",c7a36129a1da4cffb31a15a7e95d8fcd,Université de Lorraine
a9Ns5ByUOHqOeoBqXQvWj,Wikimedia Commons,940,1d205901508049c98e743b3aa7f186d2,Musée des Augustins
bOvK2KDik1QH0DXRnGxA5,Wikimedia Commons,514,daf7f010b6b14a7194596509bbd890ea,Musée d'art et d'histoire de Saint-Brieuc
4F2Wlod27z9ott5fSummTb,Europeana,177,ab36588886874385b462f62fb8229a52,Bibliothèque virtuelle sur les premiers socialismes
1fHsaXyC1T8rZ0qCMU9h63,Own website,"30,000",c076e696a2fd4c419b6c650e0300d03e,Bibliothèque municipale de Lyon
4wrWf06p8rnCXeqIVr9nzO,Own website,"7,172",2060b117dea54811861dd7e747382089,Bibliothèque du Patrimoine de Clermont Auvergne Métropole
3LjYSgTBYWwggXTdQ1nTkS,Wikimedia Commons,"5,613",2060b117dea54811861dd7e747382089,Bibliothèque du Patrimoine de Clermont Auvergne Métropole
