id,institution_name,institution_description
506a246d7724479789ff1c0591a84c42,Museum für Neue Kunst,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum finibus ut massa ut vestibulum. Nunc vel erat porta, faucibus leo quis, faucibus metus. Aliquam non nulla at eros dignissim eleifend porttitor ac metus. Nam in odio ut magna scelerisque bibendum. Maecenas dignissim massa a orci aliquet consectetur. Nulla euismod in nisl fermentum consequat. Quisque non nisl a neque consequat convallis. Nam ultrices sed turpis sit amet vestibulum. Maecenas cursus arcu nec augue sodales euismod. Nulla facilisi. Cras ligula enim, tincidunt ac felis a, tempus convallis turpis. Fusce nulla enim, porttitor nec scelerisque eu, dignissim sed sem. Pellentesque pulvinar ante magna, non commodo leo mollis eu. Vivamus interdum lacinia est et bibendum. Nulla ac elit molestie, ultricies velit at, vehicula nulla. Duis dignissim felis sit amet elementum hendrerit."
fee2cc16ffa24e18a5579e7d07e0ac0f,Факултет драмских уметности у Београду,
0ff24b61bb87495c9a6cc45f40bac09b,Augustinermuseum,
787bffe8dd324b8aa96f8a71a816edf8,Yale Center for British Art,
9329c020f8644a83a271a534dc97b2cd,Walters Art Museum,
e91a755bb52145ef8c938814f3f8f71e,Minneapolis Institute of Art,
22dcb9c80d9045578131823f1614e78e,Anacostia Community Museum,
b285cbbdf530472fa1934c677f102a79,Natural History Museum,
a34581a4c27445bb8255f5c46a1c7c67,Stedelijk Museum Zutphen,
9446f23d335d464a894b714e83b7a765,Museum Rotterdam,
f8266022f082473a95e692701480c47f,Bibliothèque nationale de Luxembourg,
52c7d72c01e54025894ce7370a0322fb,Hunt Museum,
33eb8682f2b04aa291841f78e004aa54,Museumsdorf Cloppenburg – Niedersächsisches Freilichtmuseum,
6b20eb2da48a4dbf955b334a69ff38e5,Leibniz-Institut für Astrophysik Potsdam (AIP),
c7a36129a1da4cffb31a15a7e95d8fcd,Université de Lorraine,
1d205901508049c98e743b3aa7f186d2,Musée des Augustins,
daf7f010b6b14a7194596509bbd890ea,Musée d'art et d'histoire de Saint-Brieuc,
ab36588886874385b462f62fb8229a52,Bibliothèque virtuelle sur les premiers socialismes,
c076e696a2fd4c419b6c650e0300d03e,Bibliothèque municipale de Lyon,
2060b117dea54811861dd7e747382089,Bibliothèque du Patrimoine de Clermont Auvergne Métropole,
df9a403975b84d73aae8b17ff8079d6c,Archives municipales de Toulouse,
30e3a08396f54238bb660d48c5aef3cd,Kansalliskirjasto,
82eb180afb594735b589becb7d1767e5,Musée d'art contemporain de Montréal,
be509d89706d47e98519666e6a693640,"Royal Pavilion & Museums Trust, Brighton & Hove",
a66e1d4952004e25affabeffd17976ce,Smithsonian Institution Libraries,
1649eb4063a5420f9609670e2bd4c34a,Smithsonian Institution Archives,
fd20cd157179445a80e110f4e53ab697,Smithsonian Gardens,
99e4963f14d74633a1d228ac800d47cf,Smithsonian American Art Museum,
b35c6fbae0a64c799334c9816b7fd9dd,Oregon State University Special Collections & Archives,
5b6e133f2cf14eb69bbc1a1b3bfc7b4f,New York Public Library,
9aa0f7c337184e71915088a895f2b65c,National Postal Museum,
2fc9d953f569450b92309d9a2d25c9a7,National Portrait Gallery,
8dbecb392966421181023bd45878fde3,National Museum of the American Indian,
795bbed577b743ebb2350e92c550221d,National Museum of Natural History,
f3dd0550e5b64b2495e50422d6af1721,National Museum of African Art,
fe120fcdec5548dfa808a23d5160e1ea,National Museum of African American History and Culture,
eaee91ca20d64726a172e2d32ad71328,National Gallery of Art,
a4e0f6a6644d415a992e04bff8c892b0,National Air and Space Museum,
fcacc9a3e43f49db850c982cfa1f6fc0,NASA,
67a5dba639be45898aeb53f409043e32,Metropolitan Museum of Art,
78ca87f00cae4303a21f1953fb338c30,J. Paul Getty Trust,
021e5b9b797f47a88b8bcdf1914b3dfe,Indianapolis Museum of Art at Newfields,
3ae60ad359c84bcbb1f26cc971c1354f,Hirshhorn Museum and Sculpture Garden,
c5085c1227af4b0e925e6c38a9c06873,Grand Rapids Public Museum,
78245f9c58384c31a6055e6df46c8e2c,Freer Gallery of Art,
c5d25d56dc6a4579b620c9de487b0618,"Cooper-Hewitt, National Design Museum",
4d7a5b79919b4f54ad6fa4c096d87e7e,Cleveland Museum of Art,
115a3dae22174141853d6ca9b835427d,Clark Art Institute,
c8ce94b71eb94f0385ef53e1a2c476c1,Carnegie Hall Archives,
4e71df35be254ae785c4970a6d90b38b,Barnes Foundation,
8f12b83234c64c3cbefece02932e15db,Arthur M. Sackler Gallery,
77b8b34283c34656a66a708689cb3280,Art Institute of Chicago,
7491d4eef0eb40c59412de7d8e5aed1e,Archives of American Art,
3c1430c74d6f4cf4ae40c4e4aa2360d5,York Museums Trust,
4030d949d69a495aab2c3eefb720d9b6,Wellcome Collection,
10c061c9b895415f945ffd9014ebba5e,Royal Albert Memorial Museum and Art Gallery,
a30e303e693a4b858cdcbd6a77fb3794,British Library,
bd60ec424d0a47888654895e4f448849,Bodleian Libraries ,
bef35da906fe4d87aef956f8aac2a7fc,Birmingham Museums,
c8622f4259f1499d889a4774a3673d90,Zentral- und Hochschulbibliothek Luzern (ZHB Luzern),
5d5b1b4a5bfe4c9b9a6d7ca226d49874,Naturhistorisches Museum Neuenburg,
b1815e1b2ae64a37a8263c0671ba376c,Skoklosters slott,
56e034de06f64cf89cbfd528cbb609bb,Nationalmuseum,
1f07e07eee3547ac8cf378189df02586,Musikverket,
a602e1294859454f99aa2b669e3481af,Livrustkammaren,
8db7f3f4d738486aa69993e6dc91d25c,Hallwylska museet,
f495ef8640254cae82f472c69d3124f1,Biblioteca Nacional de España,
99f895197fc9483eb0fe020f58dd243b,Slovenská národná galéria,
dc30b07f349544bebc69f1ff7e5e2e1d,Народни музеј Зрењанин,
72ab11074af940f1b6cfa1089d2abb05,"Друштво за културу, уметност и међународну сарадњу Адлигат",
2301fdae7b5b4564b256095ef003cb5a,Arquipelagos,
f02db32b64664013a6c32f90cf5d8a5a,Zamek Królewski na Wawelu - Państwowe Zbiory Sztuki,
531b58dbf3b341a78bfacb357c10d307,Seweryn Udziela Ethnographic Museum in Kraków,
f67a603811f545eb814ff73cec1086fc,Muzeum Żup Krakowskich Wieliczka,
515d840addb74708ab1ac2b28d4b22bf,Muzeum Ziemi Bieckiej w Bieczu,
7dbb90d9e6504aa28866041531fa763a,Muzeum w Chrzanowie im. Ireny i Mieczysława Mazarakich,
740ea26604b24e98bde4ff3b8abff27f,Muzeum Uniwersytetu Jagiellońskiego Collegium Maius,
bf4fd49a82fc416493f41fe66fbf4cfb,Muzeum Twórczości Władysława Wołkowskiego w Olkuszu,
5c60cefbc931404c813a4608e6fc4121,Muzeum Tatrzańskie im. dra Tytusa Chałubińskiego w Zakopanem,
2e19a162ae06475c92f11bf1f6562ae6,Muzeum Sztuki i Techniki Japońskiej „Manggha”,
e74f18beb0444301a7e37723e5a31c34,Muzeum Regionalne w Piwnicznej-Zdroju,
7c0c749e96ad4d0a9be7d0a16942b9bf,Muzeum Regionalne PTTK im. Władysława Kowalskiego w Dobczycach,
d88e48d94c7741e2abfe0613091f6221,Muzeum Regionalne PTTK im. Antoniego Minkiewicza w Olkuszu,
70eec1e761e644b486cbe3c9eab0a161,Muzeum Przyrodnicze im. Krystyny i Włodzimierza Tomków w Ciężkowicach,
42b79f8bd0ca42d08481dcd0a4a7e955,Muzeum Orawski Park Etnograficzny w Zubrzycy Górnej,
f413d9a8afa34b319ed31fcb2acb9043,Muzeum Okręgowe w Tarnowie,
a3e9aa00b2ed472f811cb0e738296eaf,Muzeum Okręgowe w Nowym Sączu,
b676887f7ba04e96928bf8b5a7f1298a,Muzeum Niepołomickie,
22e71911db294d4b86f7311431a64a46,Muzeum Nadwiślański Park Etnograficzny w Wygiełzowie i Zamek Lipowiec,
675419ef796d4b64b0a1ef04f980dbfe,Muzeum Lotnictwa Polskiego w Krakowie,
a9edfa0adc894dc386676c748423f3e2,Muzeum Inżynierii Miejskiej w Krakowie,
d04fc16108e24e1997b39dc3ec300fb3,Muzeum im. Aleksandra Kłosińskiego w Kętach,
f25c70bac7cb47708cd1dd44ac4e8561,Muzeum Historii Fotografii w Krakowie,
063467dba05c464080fc5a80b9fea29e,"Muzeum Geologiczne Wydziału Geologii, Geofizyki i Ochrony Środowiska Akademii Górniczo-Hutniczej",
0b20f9417b66492c91564d2bb0395341,Muzeum Farmacji Collegium Medicum Uniwersytetu Jagiellońskiego,
db5a7bf3364b43c090bd9d907ea3c995,Muzeum Benedyktynów w Tyńcu,
15a246af09274fcdbfcbf24ec0c417f7,Muzeum Armii Krajowej w Krakowie,
7ac27ad0ba034961a49175abab24d819,Muzeum Archidiecezjalne w Krakowie,
cf7a7e979f0f439690d1dc0dee9b6af7,Muzeum Archeologiczne w Krakowie,
ecc29742b3e942c59915ac69bbf57985,Muzeum Afrykanistyczne Olkusz,
0c7d6d9dcdae4a39afda61fb6125f46e,Mazowiecka Biblioteka Cyfrowa,
96c51105754c4e26b3b40995809a0010,Marcin Mikuła Blacksmiths Museum,
ba736a3c59f149838e6c214212b19a89,Katedra Wawelska,
ebc1f5806d9b495ca843e1ca480190d4,Instytut Nauk Geologicznych Polskiej Akademii Nauk,
740d50de619b4259b9fe67c65155528b,Fundacja Zbiorów Rodziny Sosenków,
e15ebe9a597b4b5b96a1b05dba5baa84,Dom Grecki w Myślenicach,
f3cf1d0c5785494cb41774f29c254094,Dąbrowski Dom Kultury,
6e49d5b0aad743499764fe8b14ffc1bf,Centrum Żydowskie w Oświęcimiu,
a0eb183c2ba846f893b59cb6e5100763,Akademia Sztuk Pięknych im. Jana Matejki w Krakowie,
63cd6552473b4f5f9881afefd052c2cb,Nasjonalmuseet,
b6f1807cf0d9437f9b7ae1c9de2a0bcc,Te Papa Tongarewa Museum of New Zealand ,
797618b93dda4dba8a72c7c0315d8207,Museum of Transport and Technology (MOTAT),
3f7ddb1282bf450b9d1042399e33ebd0,Rijksmuseum,
a469df05160b4d778066f2535c4cc84a,海上保安庁,
4939483d63714c3ab000d0b41ac10140,大分市デジタルアーカイブ,
95d2fe9fafc84c1abebeb8a5ac82e508,Nuovo museo archeologico di Ugento,
4325e9721e684f3ab25fd9cf04a3f6c8,Archivio Storico Touring Club Italiano,
26036d2d222b4245b0be8e79011e3307,Archivio Pietro Pensa,
454d10163c33481a8e74529bc6c7a8b1,National Gallery of Ireland,
6c8a67a9d6ff4f60be34a329d0a6be98,Balai Bahasa Provinsi Sumatera Barat,
7985a915943e425882c00c5907ec2fbe,DAG Museums,
c4671ea30226445b8df6076605028884,Bodhgay Archaeological Museum,
d2f4ae7509d443f68121ab12e4c97081,"Archaeological Museum, Nalanda",
98148f624dc54512bd43cb534da74e50,Städtische Galerie im Lenbachhaus,
b80db0bf56754bc3a9476f5c480d5901,Städel Museum,
25f4fe1ac45a44ab97534c7c9b82f574,Museum Natur und Mensch,
6ffde737d1ba4f559ebe9b1045b00644,Museum für Kunst und Gewerbe Hamburg,
276a76aa4b574a3d972bf82f45852f37,Berlinische Galerie,
f0a9ecd1909d4a33b2b40c2d7b796cf0,Bayerische Staatsgemäldesammlungen,
55fa29df439f4ffab758833383d1b856,Petit Palais,
c08f66aef7484f42aaf564e2cc3d61d8,Musée Saint-Remi,
094ce0cb4c91400fafb10b38937678d5,Musée Saint-Raymond,
a9c83475c6354c868bae2f6330071251,Musée Le Vergeur,
b11fe849737a482eba12f94d5ae52567,Musée des Beaux-Arts de Reims,
03a2516364ba470191dae2a29a3911cc,Musée de la Vie romantique,
99af1e4cbcac47e4be0d59a4059cef55,Musée de la Libération de Paris,
31c000e88904409c97b87155ddc574b3,Musée d'art moderne de Paris,
92cb2196e237463c9f5f2e7befe20247,Musée Cognacq-Jay,
3c8093ae9b4345e2a75c64999cb2ea94,Musée Cernuschi,
8181cf5136094b63b13f50aa9e4ace28,Musée Carnavalet,
b95936654b1d4898a37e5395296f0466,Musée Bourdelle,
03441b4a03aa41b1a043ad4417a31eb6,Médiathèques Valence Romans Agglomération,
a6f7aa127ef949fc805a4541e4070266,Maison de Victor Hugo,
89a5582b16d249e2bde6d2b5c48ba92d,Maison de Balzac,
2d9c89e9ad784bb5ba0b66146938e148,Archives nationales de France,
82bfa5c8cfd843cfb4d28d958651bb2c,Archives municipales de Lyon,
2202bcf6bb604d18906519f6e8e3f97d,Archives départementales du Bas-Rhin,
c5d0addf51c34b60a636b8316b92eaa6,Kansallisgalleria,
8655eba977f74f088509810e85d91ce6,Statens Museum for Kunst,
1eb9c80857f247e1a9fee33e60c271e0,Archives of Ontario,
74058f8cf0e242ab94e6031ad855533c,Universidade Federal de Alagoas,
f0b0544f484e43479746c0adb611bb62,San Carlos,
07fac2a12faa4ef8b64979a99d0c7695,Projeto Eliseu Visconti,
17ded7fb769048b2a966f36c2c95d43d,Patrimônio Belga no Brasil,
00804e22cd6841dfaf4727d841c7f763,Palácio Anchieta,
8e8f972016964dd289e237cc41a33289,Núcleo de Pesquisa em Estudos de Linguagem em Arquitetura e Cidade,
f8f335b13d854ecea45da5707c5b162e,"Museu Republicano ""Convencão de Itú""",
24374a852b184b42985ad64d99220cb5,Museu Nacional,
50d620f5e1074c63b4e1f604e80bd029,Museu Histórico Nacional,
b2cf09aa55704ffbb994c31f051cb996,Museu do Futebol,
982377c0277a4bce99f911e9cdd2c8b6,Museu do Colono,
79a1ac90cfe24c1bb0a153eaab3028aa,Museu de Arte Moderna da Bahia,
82c20b1ce74147cf84a2cfb3cd97c429,Museu de Arqueologia e Etnologia da USP,
4346cbff3b194f3da5f0320a8b12b228,Museu da Pessoa,
5e0cef1271aa447ca56785164675771b,Museu da Capitania de Ilhéus,
7049946d7b6e4b88b4cf64816230cc8f,Museu da Abolição,
5ea48d8640fa498ca6e129f96e24239d,Midiateca Capixaba,
199880ac4eeb477b90dede2e20fe8b47,Matemateca,
4215d282dcb44947909ab2e0149b03f7,MAG Seguros,
b7ff0e5f04304a71bb7ad72b4f4f252c,Laboratório do Ambiente,
361f199500d64ce793aa555362168e0e,Laboratório de Historiografia da Arquitetura e Cultura Arquitetônica (LAHCA),
f115334b5c3a478297cc79ce29702790,Itu,
09235359190c4d7a987d8e90a425abf2,Irmandade da Marujada de São Benedito de Bragança,
74f78153862248ed9a44244e00725f0e,iPatrimônio,
674a93dece314dcdb0792744da71dad2,Instituto Nacional da Mata Atlântica,
f00892ccee86490ebd1c35d4b476d4ae,Instituto Moreira Salles,
b67a3db2b0a54920935a628168b3e4ff,Instituto Hercule Florence,
3148d5f115f24057b0c849cee10f8865,Instituto de Estudos Brasileiros,
c655ede86d744b24afd435e32b1cc542,Fundação Mestre Bimba,
2532af3f6318400d85737258f2daf7dd,Fundação Casa de Rui Barbosa,
098e9db82af9495c9951eb5f00a11c0a,Fábrica de Pios,
ef58feaed4e143ca94449e0d9e31a12d,Departamento do Patrimônio Histórico da Prefeitura de São Paulo,
f2026af8571042378824d51abc5a9dc1,Centro de Memória Unicamp,
763dcd9605ec418fa1e28c7d06ddc663,Centro de Memória do Curso de Enfermagem da UFES,
cc43a4dd9688410a9b220b6248880f26,Centro de Memória da Santa Casa da Misericórdia da Bahia,
