"entry_id","institution","open_data_platform","open_data_volume"
"AoGo9tajZssVwDiMllGad","Deutsches Museum","Other","5"
"7o6xO45nvd9pNtLyvHVjcl","Biblioteca Feminaria","Wikimedia Commons","57"
"2WIPG8urY0oQTDS3Z2aLhD","Archivo General de la Nación Argentina","Wikimedia Commons","143"
"5M11ybLhbY4ZufeC3ZfZHi","Academia Nacional de la Historia de la República Argentina","Wikimedia Commons","1,771"
"4OfuSayrL3Ni3m3KS9jstp","Biblioteca Nacional Aruba","Wikimedia Commons","210"
"1hoO4oFfBHI6Xk0IjyxjOc","Archivo de la Imagen Documental Santafesina","Wikimedia Commons","245"
"5IDTy1nAfPQ9YfphRXrePc","Museo Nacional de Bellas Artes","Wikimedia Commons","877"
"2KBTLALpnoXSYaWvrye5TV","ABC Open Archives","Wikimedia Commons","41"
"5UuNPRLA6etc8qVuorhwyg","Archivo Histórico de la Provincia de Buenos Aires","Wikimedia Commons","7,968"
"4a6voMHiKtSmwBs1kKm3K3","Museo Casa Rosada","Wikimedia Commons","125"
"6Imejzg3xLVdAYv0aSuXZF","Academia Argentina de Letras","Wikimedia Commons","1,791"
"5R1xTNcYOhv0Sk39ifYVmr","Museums Victoria","Own website","94,837"
"5FbDDvCK63IhC46mqqqT4K","Libraries & Archives NT","Trove","39,907"
"4LfO6lrKqXpeLbo7njdU2y","National Library of Australia","Flickr Commons","1,222"
"7ptoQYtmqlmDlPtQNpl2VK","National Library of Australia","Own website","0"
"3MoWzqVAfy3SLSbvSCqeB0","Museum of Applied Arts and Sciences","Flickr Commons","2,527"
"3qk81RlnnEzGcy3epjm7EU","Alice Springs Public Library","Wikimedia Commons","324"
"7rZYnlstJAm6hLyTbGPlFc","Libraries Tasmania","Trove","17"
"32fe7YyW8h5K4oiSe2DaKt","Eyre Peninsula Railway Preservation Society","Trove","473"
"4sUHRGkBGXITzA2yfO2pob","Australian War Memorial","Flickr Commons","279"
"4Sdh0M9Qu5DBrm7efaQu8s","Australian National Maritime Museum","Flickr Commons","3,566"
"7LvMbAcPzokfBcpEIoOXQ2","Blue Mountains Library (Local Studies)","Flickr","2,138"
"2loYic9DHShKErZ3zx1E61","National Museum of Australia","Own website","0"
"hzlNNG2dHAleSVSp2vD7G","Queensland University of Technology Digital Collections","Trove","2,411"
"3Op27Y3Ckjj7Y5kHxo8ixZ","State Library Victoria","Own website","0"
"51AY0HIYSl7XPLCTX7th15","Queensland State Archives","Flickr","18,916"
"5GVqJhF4VWCrQSc5CMww4n","Royal Australian Historical Society","Flickr Commons","2,490"
"4KgffeylpUbBQSMZcRBIeM","Trove Digital Library","Trove","5,338"
"oQ10EFe0pqhNB7Z94BFlP","New South Wales State Archives & Records","Flickr Commons","3,901"
"1blKFAmouoxgBAXB6IHAyD","State Library of Queensland","Flickr Commons","9,562"
"7oZFdZAO1QAGNALVwOVDED","State Library of Queensland","Own website","0"
"22cAQq2oM7LoFN5JniaDnu","State Library of New South Wales","Flickr Commons","4,784"
"7uIVA9NKQr5avyExEQ1Ko1","Tasmanian Archives and State Library","Flickr Commons","1,143"
"3lQ3Tzy8zcR2KsAU9EX9Xw","Albertina","Europeana","146,462"
"3yS6pg2sMWFMkEXZVWwXiv","Albertina","Own website","167,966"
"4wpMDjhqRhOy11tN2i1cBu","Belvedere","Europeana","5,343"
"64RfknkubhbsKND4JxsYrl","Geschichtliches Museum der Stadt St. Valentin","Europeana","10"
